Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Language used most often at work,        Indo-European languages,,1505,,780,,735
Language used most often at work,          Albanian,,0,,0,,0
Language used most often at work,          Armenian,,0,,0,,0
Language used most often at work,          Balto-Slavic languages,,645,,290,,355
Language used most often at work,            Baltic languages,,0,,0,,0
Language used most often at work,              Latvian,,0,,0,,0
Language used most often at work,              Lithuanian,,0,,0,,0
Language used most often at work,            Slavic languages,,645,,290,,360
Language used most often at work,              Belarusan,,0,,0,,0
Language used most often at work,              Bosnian,,0,,0,,0
Language used most often at work,              Bulgarian,,10,,0,,0
Language used most often at work,              Croatian,,0,,0,,0
Language used most often at work,              Czech,,0,,0,,0
Language used most often at work,              Macedonian,,0,,0,,10
Language used most often at work,              Polish,,0,,0,,0
Language used most often at work,              Russian,,600,,260,,335
Language used most often at work,              Serbian,,10,,0,,0
Language used most often at work,              Serbo-Croatian,,0,,0,,0
Language used most often at work,              Slovak,,0,,0,,0
Language used most often at work,              Slovene (Slovenian),,0,,0,,0
Language used most often at work,              Ukrainian,,15,,10,,10
Language used most often at work,              Slavic languages; n.i.e.,,0,,0,,0
Language used most often at work,          Celtic languages,,0,,0,,0
Language used most often at work,            Scottish Gaelic,,0,,0,,0
Language used most often at work,            Welsh,,0,,0,,0
Language used most often at work,            Celtic languages; n.i.e.,,0,,0,,0
Language used most often at work,          Germanic languages,,20,,15,,10
Language used most often at work,            Afrikaans,,0,,0,,0
Language used most often at work,            Danish,,0,,0,,0
Language used most often at work,            Dutch,,15,,15,,10
Language used most often at work,            Frisian,,0,,0,,0
Language used most often at work,            German,,10,,0,,0
Language used most often at work,            Icelandic,,0,,0,,0
Language used most often at work,            Norwegian,,0,,0,,0
Language used most often at work,            Swedish,,0,,0,,0
Language used most often at work,            Vlaams (Flemish),,0,,0,,0
Language used most often at work,            Yiddish,,0,,0,,0
Language used most often at work,            Germanic languages; n.i.e.,,0,,0,,0
Language used most often at work,          Greek,,0,,0,,0
Language used most often at work,          Indo-Iranian languages,,305,,180,,130
Language used most often at work,            Indo-Aryan languages,,140,,85,,60
Language used most often at work,              Bengali,,0,,0,,0
Language used most often at work,              Gujarati,,20,,10,,10
Language used most often at work,              Hindi,,15,,10,,0
Language used most often at work,              Kashmiri,,0,,0,,0
Language used most often at work,              Konkani,,0,,0,,0
Language used most often at work,              Marathi,,0,,0,,0
Language used most often at work,              Nepali,,0,,0,,0
Language used most often at work,              Oriya (Odia),,0,,0,,0
Language used most often at work,              Punjabi (Panjabi),,55,,30,,25
Language used most often at work,              Sindhi,,0,,0,,0
Language used most often at work,              Sinhala (Sinhalese),,0,,0,,0
Language used most often at work,              Urdu,,50,,35,,20
Language used most often at work,            Iranian languages,,165,,95,,65
Language used most often at work,              Kurdish,,20,,10,,10
Language used most often at work,              Pashto,,0,,0,,0
Language used most often at work,              Persian (Farsi),,140,,80,,65
Language used most often at work,            Indo-Iranian languages; n.i.e.,,0,,0,,0
Language used most often at work,          Italic (Romance) languages,,530,,290,,240
Language used most often at work,            Catalan,,0,,0,,0
Language used most often at work,            Italian,,185,,100,,85
Language used most often at work,            Portuguese,,120,,85,,40
Language used most often at work,            Romanian,,30,,15,,20
Language used most often at work,            Spanish,,190,,90,,95
Language used most often at work,            Italic (Romance) languages; n.i.e.,,0,,0,,0
Language used most often at work,        Japanese,,10,,0,,15
Language used most often at work,        Kartvelian languages,,0,,0,,10
Language used most often at work,          Georgian,,0,,0,,10
Language used most often at work,        Korean,,400,,205,,195
Language used most often at work,        Mongolic languages,,0,,0,,0
Language used most often at work,          Mongolian,,0,,0,,0
Language used most often at work,        Niger-Congo languages,,0,,0,,0
Language used most often at work,          Akan (Twi),,0,,0,,0
Language used most often at work,          Bamanankan,,0,,0,,0
Language used most often at work,          Edo,,0,,0,,0
Language used most often at work,          Ewe,,0,,0,,0
Language used most often at work,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0
Language used most often at work,          Ga,,0,,0,,0
Language used most often at work,          Ganda,,0,,0,,0
Language used most often at work,          Igbo,,0,,0,,0
Language used most often at work,          Lingala,,0,,0,,0
Language used most often at work,          Rundi (Kirundi),,0,,0,,0
Language used most often at work,          Kinyarwanda (Rwanda),,0,,0,,0
Language used most often at work,          Shona,,0,,0,,0
Language used most often at work,          Swahili,,0,,0,,0
Language used most often at work,          Wolof,,0,,0,,0
Language used most often at work,          Yoruba,,0,,0,,0
Language used most often at work,          Niger-Congo languages; n.i.e.,,0,,0,,0
Language used most often at work,        Nilo-Saharan languages,,0,,0,,0
Language used most often at work,          Dinka,,0,,0,,0
Language used most often at work,          Nilo-Saharan languages; n.i.e.,,0,,0,,0
Language used most often at work,        Sign languages,,10,,10,,10
Language used most often at work,          American Sign Language,,10,,0,,0
Language used most often at work,          Quebec Sign Language,,0,,0,,0
Language used most often at work,          Sign languages; n.i.e,,0,,10,,0
Language used most often at work,        Sino-Tibetan languages,,800,,380,,420
Language used most often at work,          Chinese languages,,795,,375,,420
Language used most often at work,            Cantonese,,280,,115,,175
Language used most often at work,            Hakka,,0,,0,,0
Language used most often at work,            Mandarin,,485,,255,,230
Language used most often at work,            Min Dong,,0,,0,,0
Language used most often at work,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,0,,0,,0
